Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,2,Single,20682,1,No,4,3,11
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,2,Single,23016,0,No,3,3,15
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,3,Married,15067,4,Yes,3,4,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,3,Single,25258,4,No,3,4,5
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,2,Divorced,10425,8,Yes,4,3,4
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,2,Married,15998,1,Yes,3,2,10
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,1,Single,26278,1,No,3,3,6
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,3,Married,18092,3,No,3,3,1
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,2,Divorced,15717,7,Yes,3,3,13
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,2,Married,,1,No,3,3,5
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,3,Single,21698,4,No,3,2,6
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,1,Divorced,9518,3,No,3,3,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,1,Married,18725,3,No,4,3,4
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,2,Married,15830,1,No,3,3,11
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,3,Single,13596,1,No,3,3,9
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,4,Married,14115,1,No,4,2,22
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,2,Single,8423,0,Yes,4,1,10
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,2,Divorced,19760,1,Yes,3,2,11
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,3,Married,3142,2,Yes,3,2,10
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,2,Single,24301,1,No,3,3,11
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,3,Married,24001,9,No,3,1,4
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,2,Married,17519,0,No,4,2,3
28,No,Non-Travel,120,Sales,4,3,Medical,2,Male,2,Married,8863,1,No,3,4,5
58,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,4,Single,24409,0,No,3,2,37
44,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,2,Married,25043,4,No,3,4,3
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,1,Divorced,23648,4,Yes,4,3,3
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,1,Single,15178,1,No,3,3,1
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,1,Single,19783,1,Yes,3,3,1
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,2,Single,12482,1,No,3,3,16
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,2,Divorced,15850,5,No,3,4,1
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,5,Married,21922,9,No,4,3,3
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,5,Married,9755,3,Yes,3,2,8
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,2,Single,26959,1,Yes,3,3,6
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,1,Married,26897,1,No,3,3,2
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,1,Single,23785,1,No,3,3,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,,3,Single,25796,3,No,4,2,13
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,2,Single,22887,1,Yes,4,3,9
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,4,Single,,2,Yes,3,3,5
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,1,Married,13257,0,No,3,3,5
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,2,Divorced,15000,6,No,3,3,1
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,3,Single,14506,2,No,3,3,5
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,3,Single,5615,2,No,3,3,11
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,3,Married,22952,0,No,3,3,9
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,1,Divorced,2561,5,No,4,3,1
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,4,Married,19494,1,Yes,3,4,25
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,1,Divorced,22310,1,No,4,2,10
33,No,Non-Travel,750,Sales,22,2,Marketing,3,Male,2,Married,15480,0,No,3,4,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,1,Married,4510,9,Yes,3,3,5
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,5,Single,6462,7,No,3,3,20
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,2,Married,20739,4,Yes,3,2,7
26,No,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,1,Married,23300,1,No,3,2,5
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,3,Married,3465,1,No,3,2,40
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,1,Single,26820,1,Yes,3,2,0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,1,Married,19299,0,No,3,3,2
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,2,Married,5549,1,No,3,2,15
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,1,Single,16090,4,No,3,3,3
50,No,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,3,Single,6645,4,No,3,3,2
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,2,Married,24788,3,Yes,3,3,2
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,3,Divorced,21196,3,Yes,3,3,9
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,1,Married,8916,1,No,4,3,8
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,2,Divorced,2819,6,No,4,3,3
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,3,Single,25150,2,No,3,3,4
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,2,Married,14590,4,No,3,4,15
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,2,Married,24835,2,No,3,3,2
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,3,Male,2,Married,13982,0,Yes,3,1,11
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,Female,1,Single,10224,7,No,4,4,5
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,3,Male,1,Single,9752,5,No,3,2,6
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,4,Female,2,Single,2302,3,Yes,4,3,3
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,Female,1,Single,23910,1,No,3,2,5
32,No,Travel_Frequently,689,Sales,9,2,Medical,4,Male,2,Divorced,22812,0,No,3,4,8
30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,4,Female,1,Divorced,10415,5,No,3,3,3
30,No,Travel_Rarely,1427,Research & Development,2,1,Medical,2,Male,1,Single,11162,0,No,3,3,5
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,4,Male,4,Divorced,12888,4,No,3,2,7
41,No,Travel_Rarely,933,Research & Development,9,4,Life Sciences,3,Male,1,Married,6961,2,No,4,3,5
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,2,Female,1,Single,16102,1,No,3,3,1
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,2,Female,2,Divorced,8504,1,No,3,3,20
35,No,Travel_Rarely,662,Sales,1,5,Marketing,3,Male,3,Married,11439,1,No,3,3,10
53,No,Travel_Rarely,1436,Sales,6,2,Marketing,2,Male,2,Married,,2,Yes,4,1,7
45,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,2,Male,2,Divorced,10901,8,No,3,1,17
32,No,Travel_Frequently,967,Sales,8,3,Marketing,2,Female,3,Single,15589,1,No,3,3,9
29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,4,Male,2,Married,26283,1,No,3,3,10
51,No,Travel_Rarely,1169,Research & Development,7,4,Medical,2,Male,2,Married,13983,2,No,3,3,1
58,No,Travel_Rarely,1145,Research & Development,9,3,Medical,2,Female,1,Married,11873,4,Yes,4,2,1
40,No,Travel_Rarely,630,Sales,4,4,Marketing,3,Male,3,Married,8552,7,No,3,2,12
34,No,Travel_Frequently,303,Sales,2,4,Marketing,3,Female,1,Married,11314,6,No,3,3,4
22,No,Travel_Rarely,1256,Research & Development,19,1,Medical,3,Male,1,Married,11992,1,No,4,3,2
27,No,Non-Travel,691,Research & Development,9,3,Medical,4,Male,1,Divorced,5970,6,No,3,1,2
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,3,Male,1,Married,6672,1,No,3,1,5
57,No,Travel_Rarely,334,Research & Development,24,2,Life Sciences,3,Male,3,Divorced,23402,3,Yes,3,1,5
27,No,Non-Travel,1450,Research & Development,3,3,Medical,3,Male,1,Divorced,25326,1,Yes,3,2,1
50,No,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,3,Female,5,Single,17053,3,No,3,3,5
41,No,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,Male,1,Divorced,4609,4,No,3,3,9
30,No,Travel_Rarely,1339,Sales,5,3,Life Sciences,2,,3,Married,8053,2,No,3,3,10
38,No,Travel_Rarely,702,Sales,1,4,Life Sciences,1,Female,2,Single,12930,4,No,4,4,8
32,No,Travel_Rarely,120,Research & Development,6,5,Life Sciences,3,Male,1,Single,12430,3,No,4,3,5
27,No,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,3,Male,1,Married,13364,0,Yes,3,2,5
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,3,Female,1,Single,20989,0,No,4,4,0
36,No,Travel_Frequently,1480,Research & Development,3,2,Medical,4,Male,1,Single,15062,4,No,3,2,8
30,No,Non-Travel,111,Research & Development,9,3,Medical,3,Male,2,Divorced,11012,1,No,3,3,12
45,No,Travel_Rarely,1268,Sales,4,2,Life Sciences,3,Female,2,Divorced,6319,4,Yes,3,4,5
56,No,Travel_Rarely,713,Research & Development,8,3,Life Sciences,3,Female,1,Divorced,13939,4,Yes,3,3,2
33,No,Travel_Rarely,134,Research & Development,2,3,Life Sciences,3,Male,1,Single,10515,0,No,3,4,3
19,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,2,Male,1,Single,9241,1,No,4,2,1
46,No,Travel_Rarely,526,Sales,1,2,Marketing,2,Female,3,Divorced,2137,1,No,4,3,24
38,No,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,3,Female,1,Single,6319,1,No,3,3,2
31,No,Travel_Rarely,140,Research & Development,12,1,Medical,3,Female,1,Married,6984,8,Yes,4,3,4
34,No,Travel_Rarely,629,Research & Development,27,2,Medical,4,Female,1,Single,5711,2,No,3,3,3
41,Yes,Travel_Rarely,1356,Sales,20,2,Marketing,2,Female,1,Single,21728,1,Yes,4,2,4
50,No,Travel_Rarely,328,Research & Development,1,3,Medical,3,Male,1,Married,3425,2,No,3,2,3
53,No,Travel_Rarely,1084,Research & Development,13,2,Medical,4,Female,2,Divorced,26250,1,No,3,3,4
33,No,Travel_Rarely,931,Research & Development,14,3,Medical,4,Female,1,Married,,1,No,3,3,8
40,No,Travel_Rarely,989,Research & Development,4,1,Medical,4,Female,5,Married,6499,1,No,3,3,20
55,No,Travel_Rarely,692,Research & Development,14,4,Medical,3,Male,5,Single,13339,8,No,3,3,24
34,No,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,4,Male,2,Married,14074,1,No,3,2,10
51,No,Travel_Rarely,313,Research & Development,3,3,Medical,4,Female,4,Single,7192,3,No,3,3,7
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,3,Male,5,Married,5678,0,No,3,3,33
27,No,Travel_Rarely,894,Research & Development,9,3,Medical,4,Female,1,Single,11781,1,No,3,2,7
35,Yes,Travel_Rarely,556,Research & Development,23,2,Life Sciences,2,Male,2,Married,15497,3,Yes,3,3,1
43,No,Non-Travel,1344,Research & Development,7,3,Medical,4,Male,1,Divorced,5228,4,No,3,4,5
45,No,Non-Travel,1195,Research & Development,2,2,Medical,1,Male,4,Married,20462,9,No,4,3,20
37,No,Travel_Rarely,290,Research & Development,21,3,Life Sciences,2,Male,1,Married,22977,1,Yes,3,2,8
35,No,Travel_Frequently,138,Research & Development,2,3,Medical,2,Female,2,Single,15986,5,No,3,3,6
42,No,Non-Travel,926,Research & Development,21,2,Medical,3,Female,2,Divorced,16439,2,No,3,3,5
38,No,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,4,Male,2,Married,7259,9,No,3,3,1
38,No,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,4,Male,2,Married,4185,3,No,3,1,7
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,3,Male,2,Married,9679,5,No,3,3,2
49,No,Non-Travel,1002,Research & Development,18,4,Life Sciences,4,Male,2,Divorced,23793,1,Yes,3,3,7
34,No,Travel_Frequently,878,Research & Development,10,4,Medical,4,Male,1,Divorced,5972,1,Yes,3,4,5
40,No,Travel_Rarely,905,Research & Development,19,2,Medical,3,Male,2,Married,16523,8,Yes,3,4,7
38,Yes,Travel_Rarely,1180,Research & Development,29,1,Medical,2,Male,2,Married,11354,7,Yes,3,3,1
29,Yes,Travel_Rarely,121,Sales,27,3,Marketing,2,Female,3,Married,24525,1,No,4,2,10
22,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,4,Male,1,Divorced,12392,1,Yes,3,2,4
36,No,Travel_Frequently,635,Research & Development,18,1,Medical,2,Female,1,Single,7703,1,No,3,3,8
40,No,Non-Travel,1151,Research & Development,9,5,Life Sciences,4,Male,2,Married,14242,9,No,3,1,3
46,No,Travel_Rarely,644,Research & Development,1,4,Medical,4,Male,3,Divorced,12368,7,No,3,3,4
32,Yes,Travel_Rarely,1045,Sales,4,4,Medical,4,Male,3,Married,25812,1,No,3,2,14
30,No,Non-Travel,829,Research & Development,1,1,Life Sciences,3,Male,3,Single,,1,No,4,3,11
27,No,Travel_Frequently,1242,Sales,20,3,Life Sciences,4,Female,2,Single,12916,1,No,3,3,7
51,No,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,2,Male,3,Married,15736,5,No,3,1,10
30,Yes,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,4,Female,1,Single,8556,5,Yes,3,3,5
41,No,Travel_Rarely,896,Sales,6,3,Life Sciences,4,Female,3,Single,14674,3,Yes,3,3,1
30,Yes,Travel_Frequently,334,Sales,26,4,Marketing,3,Female,2,Single,22967,5,No,3,2,6
29,Yes,Travel_Rarely,992,Research & Development,1,3,Technical Degree,3,Male,1,Single,19757,0,No,3,2,6
45,No,Non-Travel,1052,Sales,6,3,Medical,4,Female,3,Single,16840,6,No,3,3,19
54,No,Travel_Rarely,1147,Sales,3,3,Marketing,4,Female,2,Married,17011,2,No,3,3,6
36,No,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,4,Male,2,Single,9945,8,No,3,4,13
33,No,Travel_Rarely,147,Research & Development,4,4,Medical,3,Female,1,Married,13248,6,No,4,3,3
37,No,Travel_Frequently,663,Research & Development,11,3,Other,2,Male,3,Divorced,10056,1,Yes,3,3,10
38,No,Travel_Rarely,119,Sales,3,3,Life Sciences,1,Male,3,Divorced,9647,0,No,3,2,16
31,No,Non-Travel,979,Research & Development,1,4,Medical,3,Male,2,Married,4381,0,No,3,3,5
59,No,Travel_Rarely,142,Research & Development,3,3,Life Sciences,3,Male,1,Married,8456,3,No,3,3,1
37,No,Travel_Frequently,319,Sales,4,4,Marketing,1,Male,1,Divorced,2539,4,No,3,3,9
29,No,Travel_Frequently,1413,Sales,1,1,Medical,2,Female,3,Married,6599,1,No,3,3,11
35,No,Travel_Frequently,944,Sales,1,3,Marketing,3,Female,3,Single,9096,1,No,3,4,10
29,Yes,Travel_Rarely,896,Research & Development,18,1,Medical,3,Male,1,Single,14961,1,Yes,3,2,4
52,No,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,3,Female,1,Single,3300,7,No,3,2,2
42,No,Travel_Rarely,532,Research & Development,4,2,Technical Degree,3,Male,5,Married,4933,1,No,3,3,22
59,No,Travel_Rarely,818,Human Resources,6,2,Medical,2,Male,1,Married,25657,8,No,3,2,2
50,No,Travel_Rarely,854,Sales,1,4,Medical,4,,5,Divorced,,3,No,3,2,7
33,Yes,Travel_Rarely,813,Research & Development,14,3,Medical,3,Male,1,Married,22149,5,Yes,3,1,5
43,No,Travel_Rarely,1034,Sales,16,3,Marketing,4,Female,4,Married,7744,5,Yes,4,3,17
33,Yes,Travel_Rarely,465,Research & Development,2,2,Life Sciences,1,Female,1,Married,21509,7,No,4,4,9
52,No,Non-Travel,771,Sales,2,4,Life Sciences,1,Male,5,Single,21030,1,Yes,3,4,33
32,No,Travel_Rarely,1401,Sales,4,2,Life Sciences,3,Female,1,Married,20990,2,No,3,3,4
32,Yes,Travel_Rarely,515,Research & Development,1,3,Life Sciences,4,Male,1,Single,9571,0,Yes,3,1,3
39,No,Travel_Rarely,1431,Research & Development,1,4,Medical,3,Female,1,Divorced,15417,7,No,3,3,3
32,No,Non-Travel,976,Sales,26,4,Marketing,3,Male,2,Married,12069,0,No,3,3,3
41,No,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,3,Male,2,Divorced,19877,2,No,3,2,1
40,No,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,Male,2,Divorced,24447,1,No,3,3,9
45,No,Travel_Rarely,252,Research & Development,1,3,Other,3,Male,5,Married,15970,0,No,3,3,24
31,No,Travel_Frequently,1327,Research & Development,3,4,Medical,2,Male,3,Divorced,13523,9,No,3,3,2
33,No,Travel_Rarely,832,Research & Development,5,4,Life Sciences,3,Female,1,Married,14776,1,No,3,2,2
34,No,Travel_Rarely,470,Research & Development,2,4,Life Sciences,4,Male,2,Married,23687,6,No,3,3,11
37,No,Travel_Rarely,1017,Research & Development,1,2,Medical,3,Female,1,Married,18697,2,No,3,2,3
45,No,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,1,Male,2,Married,5118,4,No,3,3,3
37,Yes,Travel_Frequently,504,Research & Development,10,3,Medical,1,Male,3,Divorced,22573,6,No,3,3,1
39,No,Travel_Frequently,505,Research & Development,2,4,Technical Degree,3,Female,3,Single,6420,0,No,4,3,19
