,pclass,sex,age,fare,embarked,alone,survived
74,3,male,32.0,56.4958,S,True,1
75,3,male,25.0,7.65,S,True,0
78,2,male,0.83,29.0,S,False,1
79,3,female,30.0,12.475,S,True,1
80,3,male,22.0,9.0,S,True,0
81,3,male,29.0,9.5,S,True,1
83,1,male,28.0,47.1,S,True,0
84,2,female,17.0,10.5,S,True,1
85,3,female,33.0,15.85,S,False,1
86,3,male,16.0,34.375,S,False,0
88,1,female,23.0,263.0,S,False,1
89,3,male,24.0,8.05,S,True,0
90,3,male,29.0,8.05,S,True,0
91,3,male,20.0,7.8542,S,True,0
92,1,male,46.0,61.175,S,False,0
93,3,male,26.0,20.575,S,False,0
94,3,male,59.0,7.25,S,True,0
96,1,male,71.0,34.6542,C,True,0
97,1,male,23.0,63.3583,C,False,1
98,2,female,34.0,23.0,S,False,1
99,2,male,34.0,26.0,S,False,0
100,3,female,28.0,7.8958,S,True,0
102,1,male,21.0,77.2875,S,False,0
103,3,male,33.0,8.6542,S,True,0
104,3,male,37.0,7.925,S,False,0
105,3,male,28.0,7.8958,S,True,0
106,3,female,21.0,7.65,S,True,1
108,3,male,38.0,7.8958,S,True,0
110,1,male,47.0,52.0,S,True,0
111,3,female,14.5,14.4542,C,False,0
112,3,male,22.0,8.05,S,True,0
113,3,female,20.0,9.825,S,False,0
114,3,female,17.0,14.4583,C,True,0
115,3,male,21.0,7.925,S,True,0
116,3,male,70.5,7.75,Q,True,0
117,2,male,29.0,21.0,S,False,0
118,1,male,24.0,247.5208,C,False,0
119,3,female,2.0,31.275,S,False,0
120,2,male,21.0,73.5,S,False,0
122,2,male,32.5,30.0708,C,False,0
123,2,female,32.5,13.0,S,True,1
124,1,male,54.0,77.2875,S,False,0
125,3,male,12.0,11.2417,C,False,1
127,3,male,24.0,7.1417,S,True,1
129,3,male,45.0,6.975,S,True,0
130,3,male,33.0,7.8958,C,True,0
131,3,male,20.0,7.05,S,True,0
132,3,female,47.0,14.5,S,False,0
133,2,female,29.0,26.0,S,False,1
134,2,male,25.0,13.0,S,True,0
135,2,male,23.0,15.0458,C,True,0
136,1,female,19.0,26.2833,S,False,1
137,1,male,37.0,53.1,S,False,0
138,3,male,16.0,9.2167,S,True,0
139,1,male,24.0,79.2,C,True,0
141,3,female,22.0,7.75,S,True,1
142,3,female,24.0,15.85,S,False,1
143,3,male,19.0,6.75,Q,True,0
144,2,male,18.0,11.5,S,True,0
145,2,male,19.0,36.75,S,False,0
146,3,male,27.0,7.7958,S,True,1
147,3,female,9.0,34.375,S,False,0
148,2,male,36.5,26.0,S,False,0
149,2,male,42.0,13.0,S,True,0
150,2,male,51.0,12.525,S,True,0
151,1,female,22.0,66.6,S,False,1
152,3,male,55.5,8.05,S,True,0
153,3,male,40.5,14.5,S,False,0
155,1,male,51.0,61.3792,C,False,0
156,3,female,16.0,7.7333,Q,True,1
157,3,male,30.0,8.05,S,True,0
160,3,male,44.0,16.1,S,False,0
161,2,female,40.0,15.75,S,True,1
162,3,male,26.0,7.775,S,True,0
163,3,male,17.0,8.6625,S,True,0
164,3,male,1.0,39.6875,S,False,0
165,3,male,9.0,20.525,S,False,1
167,3,female,45.0,27.9,S,False,0
169,3,male,28.0,56.4958,S,True,0
170,1,male,61.0,33.5,S,True,0
171,3,male,4.0,29.125,Q,False,0
172,3,female,1.0,11.1333,S,False,1
173,3,male,21.0,7.925,S,True,0
174,1,male,56.0,30.6958,C,True,0
175,3,male,18.0,7.8542,S,False,0
177,1,female,50.0,28.7125,C,True,0
178,2,male,30.0,13.0,S,True,0
179,3,male,36.0,0.0,S,True,0
182,3,male,9.0,31.3875,S,False,0
183,2,male,1.0,39.0,S,False,1
184,3,female,4.0,22.025,S,False,1
187,1,male,45.0,26.55,S,True,1
188,3,male,40.0,15.5,Q,False,0
189,3,male,36.0,7.8958,S,True,0
190,2,female,32.0,13.0,S,True,1
191,2,male,19.0,13.0,S,True,0
192,3,female,19.0,7.8542,S,False,1
193,2,male,3.0,26.0,S,False,1
194,1,female,44.0,27.7208,C,True,1
195,1,female,58.0,146.5208,C,True,1
197,3,male,42.0,8.4042,S,False,0
199,2,female,24.0,13.0,S,True,0
200,3,male,28.0,9.5,S,True,0
202,3,male,34.0,6.4958,S,True,0
203,3,male,45.5,7.225,C,True,0
204,3,male,18.0,8.05,S,True,1
205,3,female,2.0,10.4625,S,False,0
206,3,male,32.0,15.85,S,False,0
207,3,male,26.0,18.7875,C,True,1
208,3,female,16.0,7.75,Q,True,1
209,1,male,40.0,31.0,C,True,1
210,3,male,24.0,7.05,S,True,0
211,2,female,35.0,21.0,S,True,1
212,3,male,22.0,7.25,S,True,0
213,2,male,30.0,13.0,S,True,0
215,1,female,31.0,113.275,C,False,1
216,3,female,27.0,7.925,S,True,1
217,2,male,42.0,27.0,S,False,0
218,1,female,32.0,76.2917,C,True,1
219,2,male,30.0,10.5,S,True,0
220,3,male,16.0,8.05,S,True,1
221,2,male,27.0,13.0,S,True,0
222,3,male,51.0,8.05,S,True,0
224,1,male,38.0,90.0,S,False,1
225,3,male,22.0,9.35,S,True,0
226,2,male,19.0,10.5,S,True,1
227,3,male,20.5,7.25,S,True,0
228,2,male,18.0,13.0,S,True,0
230,1,female,35.0,83.475,S,False,1
231,3,male,29.0,7.775,S,True,0
232,2,male,59.0,13.5,S,True,0
233,3,female,5.0,31.3875,S,False,1
234,2,male,24.0,10.5,S,True,0
236,2,male,44.0,26.0,S,False,0
237,2,female,8.0,26.25,S,False,1
238,2,male,19.0,10.5,S,True,0
239,2,male,33.0,12.275,S,True,0
242,2,male,29.0,10.5,S,True,0
243,3,male,22.0,7.125,S,True,0
244,3,male,30.0,7.225,C,True,0
245,1,male,44.0,90.0,Q,False,0
246,3,female,25.0,7.775,S,True,0
247,2,female,24.0,14.5,S,False,1
248,1,male,37.0,52.5542,S,False,1
249,2,male,54.0,26.0,S,False,0
251,3,female,29.0,10.4625,S,False,0
252,1,male,62.0,26.55,S,True,0
253,3,male,30.0,16.1,S,False,0
254,3,female,41.0,20.2125,S,False,0
255,3,female,29.0,15.2458,C,False,1
257,1,female,30.0,86.5,S,True,1
258,1,female,35.0,512.3292,C,True,1
259,2,female,50.0,26.0,S,False,1
261,3,male,3.0,31.3875,S,False,1
262,1,male,52.0,79.65,S,False,0
263,1,male,40.0,0.0,S,True,0
265,2,male,36.0,10.5,S,True,0
266,3,male,16.0,39.6875,S,False,0
267,3,male,25.0,7.775,S,False,1
268,1,female,58.0,153.4625,S,False,1
269,1,female,35.0,135.6333,S,True,1
271,3,male,25.0,0.0,S,True,1
272,2,female,41.0,19.5,S,False,1
273,1,male,37.0,29.7,C,False,0
275,1,female,63.0,77.9583,S,False,1
276,3,female,45.0,7.75,S,True,0
278,3,male,7.0,29.125,Q,False,0
279,3,female,35.0,20.25,S,False,1
280,3,male,65.0,7.75,Q,True,0
281,3,male,28.0,7.8542,S,True,0
282,3,male,16.0,9.5,S,True,0
283,3,male,19.0,8.05,S,True,1
285,3,male,33.0,8.6625,C,True,0
286,3,male,30.0,9.5,S,True,1
287,3,male,22.0,7.8958,S,True,0
288,2,male,42.0,13.0,S,True,1
289,3,female,22.0,7.75,Q,True,1
290,1,female,26.0,78.85,S,True,1
291,1,female,19.0,91.0792,C,False,1
292,2,male,36.0,12.875,C,True,0
293,3,female,24.0,8.85,S,True,0
294,3,male,24.0,7.8958,S,True,0
296,3,male,23.5,7.2292,C,True,0
297,1,female,2.0,151.55,S,False,0
299,1,female,50.0,247.5208,C,False,1
302,3,male,19.0,0.0,S,True,0
305,1,male,0.92,151.55,S,False,1
307,1,female,17.0,108.9,C,False,1
308,2,male,30.0,24.0,C,False,0
309,1,female,30.0,56.9292,C,True,1
310,1,female,24.0,83.1583,C,True,1
311,1,female,18.0,262.375,C,False,1
312,2,female,26.0,26.0,S,False,0
313,3,male,28.0,7.8958,S,True,0
314,2,male,43.0,26.25,S,False,0
315,3,female,26.0,7.8542,S,True,1
316,2,female,24.0,26.0,S,False,1
317,2,male,54.0,14.0,S,True,0
318,1,female,31.0,164.8667,S,False,1
319,1,female,40.0,134.5,C,False,1
320,3,male,22.0,7.25,S,True,0
321,3,male,27.0,7.8958,S,True,0
322,2,female,30.0,12.35,Q,True,1
323,2,female,22.0,29.0,S,False,1
325,1,female,36.0,135.6333,C,True,1
326,3,male,61.0,6.2375,S,True,0
327,2,female,36.0,13.0,S,True,1
328,3,female,31.0,20.525,S,False,1
329,1,female,16.0,57.9792,C,False,1
331,1,male,45.5,28.5,S,True,0
332,1,male,38.0,153.4625,S,False,0
333,3,male,16.0,18.0,S,False,0
336,1,male,29.0,66.6,S,False,0
337,1,female,41.0,134.5,C,True,1
338,3,male,45.0,8.05,S,True,1
339,1,male,45.0,35.5,S,True,0
340,2,male,2.0,26.0,S,False,1
341,1,female,24.0,263.0,S,False,1
342,2,male,28.0,13.0,S,True,0
343,2,male,25.0,13.0,S,True,0
344,2,male,36.0,13.0,S,True,0
345,2,female,24.0,13.0,S,True,1
346,2,female,40.0,13.0,S,True,1
348,3,male,3.0,15.9,S,False,1
349,3,male,42.0,8.6625,S,True,0
350,3,male,23.0,9.225,S,True,0
352,3,male,15.0,7.2292,C,False,0
353,3,male,25.0,17.8,S,False,0
355,3,male,28.0,9.5,S,True,0
356,1,female,22.0,55.0,S,False,1
357,2,female,38.0,13.0,S,True,0
360,3,male,40.0,27.9,S,False,0
361,2,male,29.0,27.7208,C,False,0
362,3,female,45.0,14.4542,C,False,0
363,3,male,35.0,7.05,S,True,0
365,3,male,30.0,7.25,S,True,0
366,1,female,60.0,75.25,C,False,1
369,1,female,24.0,69.3,C,True,1
370,1,male,25.0,55.4417,C,False,1
371,3,male,18.0,6.4958,S,False,0
372,3,male,19.0,8.05,S,True,0
373,1,male,22.0,135.6333,C,True,0
374,3,female,3.0,21.075,S,False,0
376,3,female,22.0,7.25,S,True,1
377,1,male,27.0,211.5,C,False,0
378,3,male,20.0,4.0125,C,True,0
379,3,male,19.0,7.775,S,True,0
380,1,female,42.0,227.525,C,True,1
381,3,female,1.0,15.7417,C,False,1
382,3,male,32.0,7.925,S,True,0
383,1,female,35.0,52.0,S,False,1
385,2,male,18.0,73.5,S,True,0
386,3,male,1.0,46.9,S,False,0
387,2,female,36.0,13.0,S,True,1
389,2,female,17.0,12.0,C,True,1
390,1,male,36.0,120.0,S,False,1
391,3,male,21.0,7.7958,S,True,1
392,3,male,28.0,7.925,S,False,0
393,1,female,23.0,113.275,C,False,1
394,3,female,24.0,16.7,S,False,1
395,3,male,22.0,7.7958,S,True,0
396,3,female,31.0,7.8542,S,True,0
397,2,male,46.0,26.0,S,True,0
398,2,male,23.0,10.5,S,True,0
399,2,female,28.0,12.65,S,True,1
400,3,male,39.0,7.925,S,True,1
401,3,male,26.0,8.05,S,True,0
402,3,female,21.0,9.825,S,False,0
403,3,male,28.0,15.85,S,False,0
404,3,female,20.0,8.6625,S,True,0
405,2,male,34.0,21.0,S,False,0
406,3,male,51.0,7.75,S,True,0
407,2,male,3.0,18.75,S,False,1
408,3,male,21.0,7.775,S,True,0
412,1,female,33.0,90.0,Q,False,1
414,3,male,44.0,7.925,S,True,1
416,2,female,34.0,32.5,S,False,1
417,2,female,18.0,13.0,S,False,1
418,2,male,30.0,13.0,S,True,0
419,3,female,10.0,24.15,S,False,0
421,3,male,21.0,7.7333,Q,True,0
422,3,male,29.0,7.875,S,True,0
423,3,female,28.0,14.4,S,False,0
424,3,male,18.0,20.2125,S,False,0
426,2,female,28.0,26.0,S,False,1
427,2,female,19.0,26.0,S,True,1
429,3,male,32.0,8.05,S,True,1
430,1,male,28.0,26.55,S,True,1
432,2,female,42.0,26.0,S,False,1
433,3,male,17.0,7.125,S,True,0
434,1,male,50.0,55.9,S,False,0
435,1,female,14.0,120.0,S,False,1
436,3,female,21.0,34.375,S,False,0
437,2,female,24.0,18.75,S,False,1
438,1,male,64.0,263.0,S,False,0
439,2,male,31.0,10.5,S,True,0
440,2,female,45.0,26.25,S,False,1
441,3,male,20.0,9.5,S,True,0
442,3,male,25.0,7.775,S,False,0
443,2,female,28.0,13.0,S,True,1
445,1,male,4.0,81.8583,S,False,1
446,2,female,13.0,19.5,S,False,1
447,1,male,34.0,26.55,S,True,1
448,3,female,5.0,19.2583,C,False,1
449,1,male,52.0,30.5,S,True,1
450,2,male,36.0,27.75,S,False,0
452,1,male,30.0,27.75,C,True,0
453,1,male,49.0,89.1042,C,False,1
455,3,male,29.0,7.8958,C,True,1
456,1,male,65.0,26.55,S,True,0
458,2,female,50.0,10.5,S,True,1
460,1,male,48.0,26.55,S,True,1
461,3,male,34.0,8.05,S,True,0
462,1,male,47.0,38.5,S,True,0
463,2,male,48.0,13.0,S,True,0
465,3,male,38.0,7.05,S,True,0
467,1,male,56.0,26.55,S,True,0
469,3,female,0.75,19.2583,C,False,1
471,3,male,38.0,8.6625,S,True,0
472,2,female,33.0,27.75,S,False,1
473,2,female,23.0,13.7917,C,True,1
474,3,female,22.0,9.8375,S,True,0
476,2,male,34.0,21.0,S,False,0
477,3,male,29.0,7.0458,S,False,0
478,3,male,22.0,7.5208,S,True,0
479,3,female,2.0,12.2875,S,False,1
480,3,male,9.0,46.9,S,False,0
482,3,male,50.0,8.05,S,True,0
483,3,female,63.0,9.5875,S,True,1
484,1,male,25.0,91.0792,C,False,1
486,1,female,35.0,90.0,S,False,1
487,1,male,58.0,29.7,C,True,0
488,3,male,30.0,8.05,S,True,0
489,3,male,9.0,15.9,S,False,1
491,3,male,21.0,7.25,S,True,0
492,1,male,55.0,30.5,S,True,0
493,1,male,71.0,49.5042,C,True,0
494,3,male,21.0,8.05,S,True,0
496,1,female,54.0,78.2667,C,False,1
498,1,female,25.0,151.55,S,False,0
499,3,male,24.0,7.7958,S,True,0
500,3,male,17.0,8.6625,S,True,0
501,3,female,21.0,7.75,Q,True,0
503,3,female,37.0,9.5875,S,True,0
504,1,female,16.0,86.5,S,True,1
505,1,male,18.0,108.9,C,False,0
506,2,female,33.0,26.0,S,False,1
508,3,male,28.0,22.525,S,True,0
509,3,male,26.0,56.4958,S,True,1
510,3,male,29.0,7.75,Q,True,1
512,1,male,36.0,26.2875,S,True,1
513,1,female,54.0,59.4,C,False,1
514,3,male,24.0,7.4958,S,True,0
515,1,male,47.0,34.0208,S,True,0
516,2,female,34.0,10.5,S,True,1
518,2,female,36.0,26.0,S,False,1
519,3,male,32.0,7.8958,S,True,0
520,1,female,30.0,93.5,S,True,1
521,3,male,22.0,7.8958,S,True,0
523,1,female,44.0,57.9792,C,False,1
525,3,male,40.5,7.75,Q,True,0
526,2,female,50.0,10.5,S,True,1
528,3,male,39.0,7.925,S,True,0
529,2,male,23.0,11.5,S,False,0
530,2,female,2.0,26.0,S,False,1
532,3,male,17.0,7.2292,C,False,0
534,3,female,30.0,8.6625,S,True,0
535,2,female,7.0,26.25,S,False,1
536,1,male,45.0,26.55,S,True,0
537,1,female,30.0,106.425,C,True,1
539,1,female,22.0,49.5,C,False,1
540,1,female,36.0,71.0,S,False,1
541,3,female,9.0,31.275,S,False,0
542,3,female,11.0,31.275,S,False,0
543,2,male,32.0,26.0,S,False,1
544,1,male,50.0,106.425,C,False,0
545,1,male,64.0,26.0,S,True,0
546,2,female,19.0,26.0,S,False,1
548,3,male,33.0,20.525,S,False,0
549,2,male,8.0,36.75,S,False,1
550,1,male,17.0,110.8833,C,False,1
551,2,male,27.0,26.0,S,True,0
553,3,male,22.0,7.225,C,True,1
554,3,female,22.0,7.775,S,True,1
555,1,male,62.0,26.55,S,True,0
556,1,female,48.0,39.6,C,False,1
558,1,female,39.0,79.65,S,False,1
559,3,female,36.0,17.4,S,False,1
561,3,male,40.0,7.8958,S,True,0
562,2,male,28.0,13.5,S,True,0
565,3,male,24.0,24.15,S,False,0
566,3,male,19.0,7.8958,S,True,0
567,3,female,29.0,21.075,S,False,0
569,3,male,32.0,7.8542,S,True,1
570,2,male,62.0,10.5,S,True,1
571,1,female,53.0,51.4792,S,False,1
572,1,male,36.0,26.3875,S,True,1
574,3,male,16.0,8.05,S,True,0
575,3,male,19.0,14.5,S,True,0
576,2,female,34.0,13.0,S,True,1
577,1,female,39.0,55.9,S,False,1
579,3,male,32.0,7.925,S,True,1
580,2,female,25.0,30.0,S,False,1
581,1,female,39.0,110.8833,C,False,1
582,2,male,54.0,26.0,S,True,0
583,1,male,36.0,40.125,C,True,0
585,1,female,18.0,79.65,S,False,1
586,2,male,47.0,15.0,S,True,0
587,1,male,60.0,79.2,C,False,1
588,3,male,22.0,8.05,S,True,0
590,3,male,35.0,7.125,S,True,0
591,1,female,52.0,78.2667,C,False,1
592,3,male,47.0,7.25,S,True,0
594,2,male,37.0,26.0,S,False,0
595,3,male,36.0,24.15,S,False,0
597,3,male,49.0,0.0,S,True,0
599,1,male,49.0,56.9292,C,False,1
600,2,female,24.0,27.0,S,False,1
603,3,male,44.0,8.05,S,True,0
604,1,male,35.0,26.55,C,True,1
605,3,male,36.0,15.55,S,False,0
606,3,male,30.0,7.8958,S,True,0
607,1,male,27.0,30.5,S,True,1
608,2,female,22.0,41.5792,C,False,1
609,1,female,40.0,153.4625,S,True,1
610,3,female,39.0,31.275,S,False,0
614,3,male,35.0,8.05,S,True,0
615,2,female,24.0,65.0,S,False,1
616,3,male,34.0,14.4,S,False,0
617,3,female,26.0,16.1,S,False,0
618,2,female,4.0,39.0,S,False,1
619,2,male,26.0,10.5,S,True,0
620,3,male,27.0,14.4542,C,False,0
621,1,male,42.0,52.5542,S,False,1
622,3,male,20.0,15.7417,C,False,1
623,3,male,21.0,7.8542,S,True,0
624,3,male,21.0,16.1,S,True,0
625,1,male,61.0,32.3208,S,True,0
626,2,male,57.0,12.35,Q,True,0
627,1,female,21.0,77.9583,S,True,1
628,3,male,26.0,7.8958,S,True,0
630,1,male,80.0,30.0,S,True,1
631,3,male,51.0,7.0542,S,True,0
632,1,male,32.0,30.5,C,True,1
634,3,female,9.0,27.9,S,False,0
635,2,female,28.0,13.0,S,True,1
636,3,male,32.0,7.925,S,True,0
637,2,male,31.0,26.25,S,False,0
638,3,female,41.0,39.6875,S,False,0
640,3,male,20.0,7.8542,S,True,0
641,1,female,24.0,69.3,C,True,1
642,3,female,2.0,27.9,S,False,0
644,3,female,0.75,19.2583,C,False,1
645,1,male,48.0,76.7292,C,False,1
646,3,male,19.0,7.8958,S,True,0
647,1,male,56.0,35.5,C,True,1
649,3,female,23.0,7.55,S,True,1
651,2,female,18.0,23.0,S,False,1
652,3,male,21.0,8.4333,S,True,0
654,3,female,18.0,6.75,Q,True,0
655,2,male,24.0,73.5,S,False,0
657,3,female,32.0,15.5,Q,False,0
658,2,male,23.0,13.0,S,True,0
659,1,male,58.0,113.275,C,False,0
660,1,male,50.0,133.65,S,False,1
661,3,male,40.0,7.225,C,True,0
662,1,male,47.0,25.5875,S,True,0
663,3,male,36.0,7.4958,S,True,0
664,3,male,20.0,7.925,S,False,1
665,2,male,32.0,73.5,S,False,0
666,2,male,25.0,13.0,S,True,0
668,3,male,43.0,8.05,S,True,0
670,2,female,40.0,39.0,S,False,1
671,1,male,31.0,52.0,S,False,0
672,2,male,70.0,10.5,S,True,0
673,2,male,31.0,13.0,S,True,1
675,3,male,18.0,7.775,S,True,0
676,3,male,24.5,8.05,S,True,0
677,3,female,18.0,9.8417,S,True,1
678,3,female,43.0,46.9,S,False,0
679,1,male,36.0,512.3292,C,False,1
681,1,male,27.0,76.7292,C,True,1
682,3,male,20.0,9.225,S,True,0
683,3,male,14.0,46.9,S,False,0
684,2,male,60.0,39.0,S,False,0
685,2,male,25.0,41.5792,C,False,0
686,3,male,14.0,39.6875,S,False,0
687,3,male,19.0,10.1708,S,True,0
688,3,male,18.0,7.7958,S,True,0
689,1,female,15.0,211.3375,S,False,1
690,1,male,31.0,57.0,S,False,1
691,3,female,4.0,13.4167,C,False,1
693,3,male,25.0,7.225,C,True,0
694,1,male,60.0,26.55,S,True,0
695,2,male,52.0,13.5,S,True,0
696,3,male,44.0,8.05,S,True,0
698,1,male,49.0,110.8833,C,False,0
699,3,male,42.0,7.65,S,True,0
700,1,female,18.0,227.525,C,False,1
701,1,male,35.0,26.2875,S,True,1
702,3,female,18.0,14.4542,C,False,0
703,3,male,25.0,7.7417,Q,True,0
704,3,male,26.0,7.8542,S,False,0
705,2,male,39.0,26.0,S,True,0
706,2,female,45.0,13.5,S,True,1
707,1,male,42.0,26.2875,S,True,1
708,1,female,22.0,151.55,S,True,1
710,1,female,24.0,49.5042,C,True,1
712,1,male,48.0,52.0,S,False,1
713,3,male,29.0,9.4833,S,True,0
714,2,male,52.0,13.0,S,True,0
715,3,male,19.0,7.65,S,True,0
716,1,female,38.0,227.525,C,True,1
717,2,female,27.0,10.5,S,True,1
719,3,male,33.0,7.775,S,True,0
720,2,female,6.0,33.0,S,False,1
721,3,male,17.0,7.0542,S,False,0
722,2,male,34.0,13.0,S,True,0
723,2,male,50.0,13.0,S,True,0
724,1,male,27.0,53.1,S,False,1
725,3,male,20.0,8.6625,S,True,0
726,2,female,30.0,21.0,S,False,1
728,2,male,25.0,26.0,S,False,0
729,3,female,25.0,7.925,S,False,0
730,1,female,29.0,211.3375,S,True,1
731,3,male,11.0,18.7875,C,True,0
733,2,male,23.0,13.0,S,True,0
734,2,male,23.0,13.0,S,True,0
735,3,male,28.5,16.1,S,True,0
736,3,female,48.0,34.375,S,False,0
737,1,male,35.0,512.3292,C,True,1
741,1,male,36.0,78.85,S,False,0
742,1,female,21.0,262.375,C,False,1
743,3,male,24.0,16.1,S,False,0
744,3,male,31.0,7.925,S,True,1
745,1,male,70.0,71.0,S,False,0
746,3,male,16.0,20.25,S,False,0
747,2,female,30.0,13.0,S,True,1
748,1,male,19.0,53.1,S,False,0
749,3,male,31.0,7.75,Q,True,0
750,2,female,4.0,23.0,S,False,1
751,3,male,6.0,12.475,S,False,1
752,3,male,33.0,9.5,S,True,0
753,3,male,23.0,7.8958,S,True,0
754,2,female,48.0,65.0,S,False,1
755,2,male,0.67,14.5,S,False,1
756,3,male,28.0,7.7958,S,True,0
757,2,male,18.0,11.5,S,True,0
758,3,male,34.0,8.05,S,True,0
759,1,female,33.0,86.5,S,True,1
761,3,male,41.0,7.125,S,True,0
762,3,male,20.0,7.2292,C,True,1
763,1,female,36.0,120.0,S,False,1
764,3,male,16.0,7.775,S,True,0
765,1,female,51.0,77.9583,S,False,1
767,3,female,30.5,7.75,Q,True,0
769,3,male,32.0,8.3625,S,True,0
770,3,male,24.0,9.5,S,True,0
771,3,male,48.0,7.8542,S,True,0
772,2,female,57.0,10.5,S,True,0
774,2,female,54.0,23.0,S,False,1
775,3,male,18.0,7.75,S,True,0
777,3,female,5.0,12.475,S,True,1
779,1,female,43.0,211.3375,S,False,1
780,3,female,13.0,7.2292,C,True,1
781,1,female,17.0,57.0,S,False,1
782,1,male,29.0,30.0,S,True,0
784,3,male,25.0,7.05,S,True,0
785,3,male,25.0,7.25,S,True,0
786,3,female,18.0,7.4958,S,True,1
787,3,male,8.0,29.125,Q,False,0
788,3,male,1.0,20.575,S,False,1
789,1,male,46.0,79.2,C,True,0
791,2,male,16.0,26.0,S,True,0
794,3,male,25.0,7.8958,S,True,0
795,2,male,39.0,13.0,S,True,0
796,1,female,49.0,25.9292,S,True,1
797,3,female,31.0,8.6833,S,True,1
798,3,male,30.0,7.2292,C,True,0
799,3,female,30.0,24.15,S,False,0
800,2,male,34.0,13.0,S,True,0
801,2,female,31.0,26.25,S,False,1
802,1,male,11.0,120.0,S,False,1
803,3,male,0.42,8.5167,C,False,1
804,3,male,27.0,6.975,S,True,1
805,3,male,31.0,7.775,S,True,0
806,1,male,39.0,0.0,S,True,0
807,3,female,18.0,7.775,S,True,0
808,2,male,39.0,13.0,S,True,0
809,1,female,33.0,53.1,S,False,1
810,3,male,26.0,7.8875,S,True,0
811,3,male,39.0,24.15,S,True,0
812,2,male,35.0,10.5,S,True,0
813,3,female,6.0,31.275,S,False,0
814,3,male,30.5,8.05,S,True,0
816,3,female,23.0,7.925,S,True,0
817,2,male,31.0,37.0042,C,False,0
818,3,male,43.0,6.45,S,True,0
819,3,male,10.0,27.9,S,False,0
820,1,female,52.0,93.5,S,False,1
821,3,male,27.0,8.6625,S,True,1
822,1,male,38.0,0.0,S,True,0
823,3,female,27.0,12.475,S,False,1
824,3,male,2.0,39.6875,S,False,0
827,2,male,1.0,37.0042,C,False,1
830,3,female,15.0,14.4542,C,False,1
831,2,male,0.83,18.75,S,False,1
833,3,male,23.0,7.8542,S,True,0
834,3,male,18.0,8.3,S,True,0
835,1,female,39.0,83.1583,C,False,1
836,3,male,21.0,8.6625,S,True,0
838,3,male,32.0,56.4958,S,True,1
840,3,male,20.0,7.925,S,True,0
841,2,male,16.0,10.5,S,True,0
842,1,female,30.0,31.0,C,True,1
843,3,male,34.5,6.4375,C,True,0
844,3,male,17.0,8.6625,S,True,0
845,3,male,42.0,7.55,S,True,0
847,3,male,35.0,7.8958,C,True,0
848,2,male,28.0,33.0,S,False,0
850,3,male,4.0,31.275,S,False,0
851,3,male,74.0,7.775,S,True,0
852,3,female,9.0,15.2458,C,False,0
853,1,female,16.0,39.4,S,False,1
854,2,female,44.0,26.0,S,False,0
855,3,female,18.0,9.35,S,False,1
856,1,female,45.0,164.8667,S,False,1
857,1,male,51.0,26.55,S,True,1
858,3,female,24.0,19.2583,C,False,1
